protein,native mean,native median,mutated mean,mutated median
1GYZ,5.891231758595103,6.0,2.268421052631579,2.0
1IFY,2.3819057904793555,2.0,1.0002014098690837,1.0
1JIC,1.0004085245455165,1.0,1.2184579439252337,1.0
1WCL,1.0532261568542256,1.0,4.134062179706183,4.0
2CJJ,4.822906201479587,5.0,3.5896520963425513,5.0
2JVD,4.332098536766067,5.0,1.0419918246005202,1.0
2JVG,1.12099805573558,1.0,1.0013598625823075,1.0
2KCF,5.465069413345275,6.0,2.2133120649651974,1.0
2L6Q,1.9713753162029024,2.0,1.0667392657125079,1.0
2L9R,4.946431858624287,5.0,1.417857142857143,1.0
2LUM,10.573894581371734,11.0,6.627150162715016,5.0
2M6Y,1.000826288692557,1.0,1.8947237431557988,2.0
2M8E,1.846774193548387,2.0,1.0974124809741248,1.0
2M8U,6.617911372792067,7.0,3.718696397941681,4.0
2MYX,2.275960274572806,2.0,2.476720230737536,2.0
6EWT,4.513924550661663,4.0,1.4215237080447523,1.0
6SOW,3.079066843612489,3,1.279205884679269,1
EA_run6_0680_0006,3.8146644192460926,4.0,1.0922063666300768,1.0
EEHEE_rd3_1367,2.5891819024349143,3.0,1.1623261694058153,1.0
HEEH_KT_rd6_0280,1.0580933884995356,1.0,4.470400222345748,4.0
HEEH_rd4_0349,1.0,1.0,3.430170139204804,4.0
HHH_rd4_0870,1.0,1.0,1.0009209645010047,1.0
KaiB,3.6713169642857144,4.0,1.4132231404958677,1.0
XX_run6_1020_0004,5.648304434555778,6.0,1.1023347768781773,1.0
anc3,5.312935115566694,5.0,1.0240740740740741,1.0
v2R31S_R32S_2N5D,1.0000695942654325,1.0,3.7509115014915477,5.0
v2_4UZX,4.566338084454509,5.0,3.2402875497093913,3.0
